archipelago_name,area,dist,archipelago_cat,latitude,longitude,native_count,endemic_count,elevation
Abrolhos Archipelago,1.237389736,55.0238,continental,-17.963584,-38.698964,27,0,38
Aegean Sea,37954.77966,51.82795263,continental,37.07607687,25.22047587,3196,357,2450
Agalega Islands,26.02515175,1745.583,oceanic,-10.41644059,56.64139114,13,0,23
Aleutian Islands,47322.69494,622.8112857,oceanic,53.29056149,-175,417,3,2846
Amsterdam,157.095242,3371.563667,oceanic,-37.95193921,77.54238895,37,7,869
Andaman and Nicobar Islands,7548.861656,312.975,continental,11.18708878,92.97574341,2189,315,733
Antipodes Islands,53.0641055,2661.732,oceanic,-49.68609794,178.774594,64,3,364
Ascension,102.5880007,1536.579,oceanic,-7.943923416,-14.36598787,43,12,851
Ashmore Reef and Cartier island,18.94912978,317.575,oceanic,-12.26721827,123.0802036,21,0,12
Auckland & Campbell Islands,2298.596933,1980.900333,oceanic,-51.57193068,165.7023254,221,21,661
Austral Islands,198.4845164,5674.684556,oceanic,-24.51911101,-148.2583476,428,99,398
Azores ,3916.477371,1581.4243,oceanic,38.34702552,-27.28151097,540,64,2319
Bahamas,17122.51863,392.148,oceanic,24.06844196,-76.27934057,1021,86,84
Baker and Howland Island,4.087217279,4337.839,oceanic,0.588132615,-176.5729651,10,0,0
Balearic Islands,8729.523648,141.626625,fragment,39.56775802,2.898205708,1441,83,1435
Bering Sea Islands,24901.06174,72.869,continental,63.38929824,-170.3430414,211,0,649
Bermuda Islands,100.8429544,1056.032,oceanic,32.30831273,-64.76940295,171,17,83
Bight of Biafra Islands,3119.018426,188.007,oceanic,2.401665902,7.982434543,2423,284,3018
Bijagos Islands,1380.874529,0.184,continental,11.29456307,-16.04043661,388,0,51
Bismarck Archipelago,49143.88871,767.679,oceanic,-4.913612655,150.6363495,1603,304,2348
Bonin Islands,157.5448903,1539.623476,oceanic,26.15929457,141.8550185,485,129,808
Bounty Islands,1.02414485,2619.235,oceanic,-47.75525205,179.0352088,1,0,41
British Isles,919020.5437,202.0858333,continental,53.93939863,-4.056000622,1545,85,1346
California Channel Islands,1440.852528,44.97377778,oceanic,33.64487325,-119.3671394,498,42,731
Canary Islands,10088.39468,242.4335,oceanic,28.33700533,-15.68357005,1642,687,3696
Cape Verde Islands,4606.144032,710.0893077,oceanic,15.96262758,-23.96991534,482,87,2792
Cargados Carajos Shoals,6.451420909,2009.213,oceanic,-16.60949199,59.58868273,21,0,29
Caroline Islands,1277.925904,1916.94659,oceanic,7.183552219,147.0445868,990,176,783
Central American Pacific Islands,0.94620976,362.149,oceanic,4.002233641,-81.60842876,1,0,177
Central Chilean Islands,14.1366158,6.459,continental,-29.16853102,-71.54449787,58,0,157
Central East Coast Islands (North America),148.1007528,17.4758,continental,38.79768514,-74.59205258,510,0,36
Chagos Archipelago,133.1286823,1652.666333,oceanic,-6.913474093,72.21986271,61,0,37
Chatham Islands,1670.395067,2864.142,oceanic,-43.93619214,-176.5215344,430,56,297
Chiloe,16954.90225,2.141,continental,-42.6453284,-73.86186562,184,0,857
Christmas Island,145.9036112,1309.619,oceanic,-10.4839876,105.6391225,216,16,367
Clipperton Island,9.843861071,1079.57,oceanic,10.30253481,-109.2170187,12,0,12
Cocos (Keeling) Islands,47.7189779,1637.78375,oceanic,-12.14497417,96.86552938,83,0,26
Cook Islands,310.6461459,4817.018833,oceanic,-18.4268055,-159.750286,381,43,542
Corsica & Sardinia,56837.42348,133.305,fragment,40.65253518,9.056079568,2550,204,2681
Crozet Islands,789.4623029,2416.800667,oceanic,-46.35614512,51.61018461,24,0,1065
Cyperus,13907.51425,69.859,oceanic,35.04096688,33.21743994,1483,98,1954
Desventuradas Islands,9.806692079,871.235,oceanic,-26.32376149,-79.97494772,25,13,449
Easter Island (Rapa Nui),242.1924564,3366.2215,oceanic,-27.11828281,-109.3304316,66,9,507
Faeroe Islands,6932.479226,596.457,oceanic,62.0530265,-6.864551902,333,1,872
Falkland Islands (Islas Malvinas),33152.02134,524.299,oceanic,-51.74213688,-59.37538446,170,17,703
Fernando de Noronha,21.19358796,356.222,oceanic,-3.857521913,-32.42737069,138,13,242
Fiji Islands,21296.47974,2894.853713,oceanic,-17.45879418,161.9044726,1812,937,1315
Frisian Islands,343.369556,7.065636364,continental,53.68706703,7.224123049,576,2,24
Galapagos Islands,8308.35228,1055.299667,oceanic,-0.547320903,-90.90091864,687,178,1707
Gambier Islands,137.7001436,5704.774842,oceanic,-22.48090513,-135.4744251,102,8,406
Gilbert Islands,359.7247783,3498.113,oceanic,0.423389669,174.0395253,91,2,25
Golf de California Islands,3844.59407,12.373,continental,28.19130824,-112.3044053,573,9,1069
Great Barrier Reef Islands,900.5040628,130.4145405,continental,-10.80947735,142.6754788,1282,17,494
Greater Antilles,237519.4474,673.2312759,oceanic,20.29658658,-75.55440467,9144,5609,3097
Greater Sunda Islands,1549076.285,327.0499091,continental,-0.557584612,110.8522969,21117,10769,4060
Hainan,38651.63649,18.396,continental,19.19344845,109.7449254,4317,630,1804
